,Battery Voltage [V],Velocity [km/h],Battery Temperature [°C],Cabin Temperature Sensor [°C],Heat Exchanger Temperature [°C],Throttle [%],SoC [%]
0,392.0,0.0,21.0,22.5,21.0,3.03,86.5
1,392.0,0.0,21.0,22.5,21.0,8.63,86.5
2,392.0,0.0,21.0,22.5,21.0,11.34,86.5
3,391.95,0.0,21.0,22.5,21.0,13.29,86.5
4,391.9,0.0,21.0,22.5,21.0,15.99,86.5
5,391.85,0.0,21.0,22.5,21.0,17.65,86.5
6,391.8,0.03,21.0,22.5,21.0,17.65,86.5
7,391.75,0.26,21.0,22.5,21.0,18.11,86.5
8,391.7,0.73,21.0,22.5,21.0,19.26,86.5
9,391.7,0.81,21.0,22.5,21.0,20.83,86.5
10,391.7,1.07,21.0,22.5,21.0,22.82,86.5
11,391.65,1.24,21.0,22.5,21.0,24.47,86.5
12,391.6,1.51,21.0,22.5,21.0,25.48,86.5
13,391.55,1.84,21.0,22.5,21.0,27.03,86.5
14,391.49,2.18,21.0,22.5,21.0,29.64,86.5
15,391.34,2.58,21.0,22.5,21.0,31.99,86.5
16,391.19,3.01,21.0,22.5,21.0,32.89,86.5
17,391.09,3.5,21.0,22.5,21.0,32.8,86.5
18,390.99,4.0,21.0,22.5,21.0,32.8,86.5
19,390.89,4.56,21.0,22.5,21.0,32.48,86.5
20,390.79,5.09,21.0,22.5,21.0,32.4,86.5
21,390.69,5.69,21.0,22.5,21.0,32.3,86.5
22,390.6,6.23,21.0,22.5,21.0,31.95,86.5
23,390.55,6.7,21.0,22.5,21.0,31.7,86.5
24,390.51,7.13,21.0,22.5,21.0,29.85,86.5
25,390.61,7.79,21.0,22.5,21.0,30.3,86.5
26,390.71,8.17,21.0,22.5,21.0,30.18,86.5
27,390.86,8.59,21.0,22.5,21.0,30.18,86.5
28,391.01,8.88,21.0,22.5,21.0,30.3,86.5
29,391.16,9.09,21.0,22.5,21.0,30.3,86.5
30,391.31,9.25,21.0,22.5,21.0,30.3,86.5
31,391.41,9.39,21.0,22.5,21.04,30.93,86.5
32,391.5,9.51,21.0,22.5,21.09,30.87,86.5
33,391.5,9.59,21.0,22.5,21.14,30.78,86.5
34,391.5,9.67,21.0,22.5,21.19,30.99,86.5
35,391.55,9.77,21.0,22.5,21.24,31.1,86.5
36,391.6,9.8,21.0,22.5,21.29,30.93,86.5
37,391.6,9.84,21.0,22.5,21.34,30.93,86.5
38,391.6,9.88,21.0,22.5,21.39,30.78,86.5
